job starting
[worker: 639] [integral: 0] min_calculation: 111825000 / max_calculation: 112000000, total_calculations: 179200000
[worker: 173] [integral: 0] min_calculation: 30275000 / max_calculation: 30450000, total_calculations: 179200000
[worker: 659] [integral: 0] min_calculation: 115325000 / max_calculation: 115500000, total_calculations: 179200000
[worker: 304] [integral: 0] min_calculation: 53200000 / max_calculation: 53375000, total_calculations: 179200000
[worker: 397] [integral: 0] min_calculation: 69475000 / max_calculation: 69650000, total_calculations: 179200000
[worker: 791] [integral: 0] min_calculation: 138425000 / max_calculation: 138600000, total_calculations: 179200000
[worker: 160] [integral: 0] min_calculation: 28000000 / max_calculation: 28175000, total_calculations: 179200000
[worker: 40] [integral: 0] min_calculation: 7000000 / max_calculation: 7175000, total_calculations: 179200000
[worker: 293] [integral: 0] min_calculation: 51275000 / max_calculation: 51450000, total_calculations: 179200000
[worker: 421] [integral: 0] min_calculation: 73675000 / max_calculation: 73850000, total_calculations: 179200000
[worker: 535] [integral: 0] min_calculation: 93625000 / max_calculation: 93800000, total_calculations: 179200000
[worker: 141] [integral: 0] min_calculation: 24675000 / max_calculation: 24850000, total_calculations: 179200000
[worker: 392] [integral: 0] min_calculation: 68600000 / max_calculation: 68775000, total_calculations: 179200000
[worker: 16] [integral: 0] min_calculation: 2800000 / max_calculation: 2975000, total_calculations: 179200000
[worker: 264] [integral: 0] min_calculation: 46200000 / max_calculation: 46375000, total_calculations: 179200000
[worker: 432] [integral: 0] min_calculation: 75600000 / max_calculation: 75775000, total_calculations: 179200000
[worker: 45] [integral: 0] min_calculation: 7875000 / max_calculation: 8050000, total_calculations: 179200000
[worker: 165] [integral: 0] min_calculation: 28875000 / max_calculation: 29050000, total_calculations: 179200000
[worker: 667] [integral: 0] min_calculation: 116725000 / max_calculation: 116900000, total_calculations: 179200000
[worker: 296] [integral: 0] min_calculation: 51800000 / max_calculation: 51975000, total_calculations: 179200000
[worker: 911] [integral: 0] min_calculation: 159425000 / max_calculation: 159600000, total_calculations: 179200000
[worker: 855] [integral: 0] min_calculation: 149625000 / max_calculation: 149800000, total_calculations: 179200000
[worker: 168] [integral: 0] min_calculation: 29400000 / max_calculation: 29575000, total_calculations: 179200000
[worker: 104] [integral: 0] min_calculation: 18200000 / max_calculation: 18375000, total_calculations: 179200000
[worker: 309] [integral: 0] min_calculation: 54075000 / max_calculation: 54250000, total_calculations: 179200000
[worker: 437] [integral: 0] min_calculation: 76475000 / max_calculation: 76650000, total_calculations: 179200000
[worker: 599] [integral: 0] min_calculation: 104825000 / max_calculation: 105000000, total_calculations: 179200000
[worker: 719] [integral: 0] min_calculation: 125825000 / max_calculation: 126000000, total_calculations: 179200000
[worker: 400] [integral: 0] min_calculation: 70000000 / max_calculation: 70175000, total_calculations: 179200000
[worker: 24] [integral: 0] min_calculation: 4200000 / max_calculation: 4375000, total_calculations: 179200000
[worker: 272] [integral: 0] min_calculation: 47600000 / max_calculation: 47775000, total_calculations: 179200000
[worker: 424] [integral: 0] min_calculation: 74200000 / max_calculation: 74375000, total_calculations: 179200000
[worker: 53] [integral: 0] min_calculation: 9275000 / max_calculation: 9450000, total_calculations: 179200000
[worker: 181] [integral: 0] min_calculation: 31675000 / max_calculation: 31850000, total_calculations: 179200000
[worker: 723] [integral: 0] min_calculation: 126525000 / max_calculation: 126700000, total_calculations: 179200000
[worker: 288] [integral: 0] min_calculation: 50400000 / max_calculation: 50575000, total_calculations: 179200000
[worker: 453] [integral: 0] min_calculation: 79275000 / max_calculation: 79450000, total_calculations: 179200000
[worker: 799] [integral: 0] min_calculation: 139825000 / max_calculation: 140000000, total_calculations: 179200000
[worker: 176] [integral: 0] min_calculation: 30800000 / max_calculation: 30975000, total_calculations: 179200000
[worker: 32] [integral: 0] min_calculation: 5600000 / max_calculation: 5775000, total_calculations: 179200000
[worker: 301] [integral: 0] min_calculation: 52675000 / max_calculation: 52850000, total_calculations: 179200000
[worker: 429] [integral: 0] min_calculation: 75075000 / max_calculation: 75250000, total_calculations: 179200000
[worker: 583] [integral: 0] min_calculation: 102025000 / max_calculation: 102200000, total_calculations: 179200000
[worker: 197] [integral: 0] min_calculation: 34475000 / max_calculation: 34650000, total_calculations: 179200000
[worker: 464] [integral: 0] min_calculation: 81200000 / max_calculation: 81375000, total_calculations: 179200000
[worker: 8] [integral: 0] min_calculation: 1400000 / max_calculation: 1575000, total_calculations: 179200000
[worker: 280] [integral: 0] min_calculation: 49000000 / max_calculation: 49175000, total_calculations: 179200000
[worker: 488] [integral: 0] min_calculation: 85400000 / max_calculation: 85575000, total_calculations: 179200000
[worker: 101] [integral: 0] min_calculation: 17675000 / max_calculation: 17850000, total_calculations: 179200000
[worker: 237] [integral: 0] min_calculation: 41475000 / max_calculation: 41650000, total_calculations: 179200000
[worker: 707] [integral: 0] min_calculation: 123725000 / max_calculation: 123900000, total_calculations: 179200000
[worker: 360] [integral: 0] min_calculation: 63000000 / max_calculation: 63175000, total_calculations: 179200000
[worker: 405] [integral: 0] min_calculation: 70875000 / max_calculation: 71050000, total_calculations: 179200000
[worker: 839] [integral: 0] min_calculation: 146825000 / max_calculation: 147000000, total_calculations: 179200000
[worker: 232] [integral: 0] min_calculation: 40600000 / max_calculation: 40775000, total_calculations: 179200000
[worker: 48] [integral: 0] min_calculation: 8400000 / max_calculation: 8575000, total_calculations: 179200000
[worker: 381] [integral: 0] min_calculation: 66675000 / max_calculation: 66850000, total_calculations: 179200000
[worker: 445] [integral: 0] min_calculation: 77875000 / max_calculation: 78050000, total_calculations: 179200000
