job starting
[worker: 155] [integral: 0] min_calculation: 211914 / max_calculation: 213281, total_calculations: 1400000
[worker: 748] [integral: 0] min_calculation: 1022656 / max_calculation: 1024023, total_calculations: 1400000
[worker: 983] [integral: 0] min_calculation: 1343945 / max_calculation: 1345312, total_calculations: 1400000
[worker: 819] [integral: 0] min_calculation: 1119726 / max_calculation: 1121093, total_calculations: 1400000
[worker: 51] [integral: 0] min_calculation: 69726 / max_calculation: 71093, total_calculations: 1400000
[worker: 863] [integral: 0] min_calculation: 1179882 / max_calculation: 1181250, total_calculations: 1400000
[worker: 227] [integral: 0] min_calculation: 310351 / max_calculation: 311718, total_calculations: 1400000
[worker: 871] [integral: 0] min_calculation: 1190820 / max_calculation: 1192187, total_calculations: 1400000
[worker: 959] [integral: 0] min_calculation: 1311132 / max_calculation: 1312500, total_calculations: 1400000
[worker: 215] [integral: 0] min_calculation: 293945 / max_calculation: 295312, total_calculations: 1400000
[worker: 83] [integral: 0] min_calculation: 113476 / max_calculation: 114843, total_calculations: 1400000
[worker: 963] [integral: 0] min_calculation: 1316601 / max_calculation: 1317968, total_calculations: 1400000
[worker: 851] [integral: 0] min_calculation: 1163476 / max_calculation: 1164843, total_calculations: 1400000
[worker: 95] [integral: 0] min_calculation: 129882 / max_calculation: 131250, total_calculations: 1400000
[worker: 564] [integral: 0] min_calculation: 771093 / max_calculation: 772460, total_calculations: 1400000
[worker: 947] [integral: 0] min_calculation: 1294726 / max_calculation: 1296093, total_calculations: 1400000
[worker: 195] [integral: 0] min_calculation: 266601 / max_calculation: 267968, total_calculations: 1400000
[worker: 183] [integral: 0] min_calculation: 250195 / max_calculation: 251562, total_calculations: 1400000
[worker: 460] [integral: 0] min_calculation: 628906 / max_calculation: 630273, total_calculations: 1400000
[worker: 867] [integral: 0] min_calculation: 1185351 / max_calculation: 1186718, total_calculations: 1400000
[worker: 99] [integral: 0] min_calculation: 135351 / max_calculation: 136718, total_calculations: 1400000
[worker: 772] [integral: 0] min_calculation: 1055468 / max_calculation: 1056835, total_calculations: 1400000
[worker: 179] [integral: 0] min_calculation: 244726 / max_calculation: 246093, total_calculations: 1400000
[worker: 308] [integral: 0] min_calculation: 421093 / max_calculation: 422460, total_calculations: 1400000
[worker: 428] [integral: 0] min_calculation: 585156 / max_calculation: 586523, total_calculations: 1400000
[worker: 716] [integral: 0] min_calculation: 978906 / max_calculation: 980273, total_calculations: 1400000
[worker: 67] [integral: 0] min_calculation: 91601 / max_calculation: 92968, total_calculations: 1400000
[worker: 899] [integral: 0] min_calculation: 1229101 / max_calculation: 1230468, total_calculations: 1400000
[worker: 835] [integral: 0] min_calculation: 1141601 / max_calculation: 1142968, total_calculations: 1400000
[worker: 524] [integral: 0] min_calculation: 716406 / max_calculation: 717773, total_calculations: 1400000
[worker: 55] [integral: 0] min_calculation: 75195 / max_calculation: 76562, total_calculations: 1400000
[worker: 1011] [integral: 0] min_calculation: 1382226 / max_calculation: 1383593, total_calculations: 1400000
[worker: 131] [integral: 0] min_calculation: 179101 / max_calculation: 180468, total_calculations: 1400000
